Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2908","Sugar Crops","2018","2018","1000 tonnes","1625","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5611","Import Quantity","S2908","Sugar Crops","2018","2018","1000 tonnes","165","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5072","Stock Variation","S2908","Sugar Crops","2018","2018","1000 tonnes","484","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","S2908","Sugar Crops","2018","2018","1000 tonnes","0","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5301","Domestic supply quantity","S2908","Sugar Crops","2018","2018","1000 tonnes","1305","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5521","Feed","S2908","Sugar Crops","2018","2018","1000 tonnes","3","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5123","Losses","S2908","Sugar Crops","2018","2018","1000 tonnes","87","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5131","Processing","S2908","Sugar Crops","2018","2018","1000 tonnes","1215","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5170","Residuals","S2908","Sugar Crops","2018","2018","1000 tonnes","0","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5511","Production","S2909","Sugar & Sweeteners","2018","2018","1000 tonnes","245","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5611","Import Quantity","S2909","Sugar & Sweeteners","2018","2018","1000 tonnes","261","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5072","Stock Variation","S2909","Sugar & Sweeteners","2018","2018","1000 tonnes","-32","E","Estimated value"
"FBS","Food Balances (2010-)","756","Switzerland","5911","Export Quantity","S2909","Sugar & Sweeteners","2018","2018","1000 tonnes","148","E","Estimated value"
